cpuMark,threadMark,TDP,cores,testDate,Desktop,Laptop,Mobile/Embedded,Server,Unknown
22800,2673,65.0,8,2019,1,0,0,0,0
22769,3303,65.0,8,2021,1,0,0,0,0
22733,1840,140.0,18,2017,0,0,0,1,0
22716,2680,65.0,8,2019,1,0,0,0,0
22688,3295,35.0,8,2022,1,0,0,0,0
22683,2696,165.0,10,2019,1,0,0,0,0
22570,3298,45.0,8,2021,0,1,0,0,0
22566,3371,35.0,8,2021,1,0,0,0,0
22566,3851,53.0,10,2021,1,1,0,0,0
22539,3362,65.0,8,2021,1,0,0,0,0
22315,3320,35.0,8,2021,1,0,0,0,0
22314,3843,53.0,10,2021,1,1,0,0,0
22298,2051,53.0,18,2018,0,0,0,1,0
22291,2155,140.0,22,2018,0,0,0,1,0
22266,2224,150.0,12,2017,0,0,0,1,0
22215,3201,35.0,8,2021,0,1,0,0,0
22160,2592,165.0,8,2021,0,0,0,1,0
22117,2245,125.0,16,2019,0,0,0,1,0
22088,3377,65.0,6,2020,1,0,0,0,0
22066,2914,95.0,10,2021,0,0,0,1,0
22066,2299,140.0,12,2021,1,0,0,0,0
22042,2727,165.0,10,2020,1,0,0,1,0
22005,1736,180.0,32,2017,0,0,0,1,0
21868,2604,165.0,10,2018,1,0,0,0,0
21803,1698,125.0,16,2020,0,0,0,1,0
21799,3143,125.0,10,2020,1,0,0,0,0
21755,2141,135.0,20,2016,0,0,0,1,0
21545,1963,145.0,18,2016,0,0,0,1,0
21494,2038,145.0,16,2016,0,0,0,1,0
21469,3083,45.0,8,2021,0,1,0,0,0
21447,3339,65.0,8,2021,1,0,0,0,0
21412,3145,35.0,8,2021,0,1,0,0,0
21385,3202,45.0,8,2021,0,1,0,0,0
21368,3883,65.0,6,2022,1,0,0,0,0
21363,3134,45.0,8,2021,0,1,0,0,0
21350,3208,65.0,6,2022,1,0,0,0,0
21310,2594,140.0,10,2017,1,0,0,0,0
21230,1613,155.0,16,2017,0,0,0,1,0
21225,2524,140.0,8,2021,0,0,0,1,0
21212,3219,45.0,8,2021,0,1,0,0,0
21198,2637,140.0,10,2018,0,0,0,1,0
21042,2180,140.0,14,2018,0,0,0,1,0
21030,3796,28.0,4,2022,0,1,0,0,0
20973,2288,105.0,10,2021,0,0,0,1,0
20960,3312,53.0,8,2022,0,1,0,0,0
20948,3101,53.0,8,2021,0,1,0,0,0
20881,3070,65.0,10,2020,1,0,0,0,0
20848,2700,65.0,8,2020,1,0,0,0,0
20843,2007,145.0,18,2021,0,0,0,1,0
20827,2026,155.0,8,2019,0,0,0,1,0
20721,1880,125.0,16,2017,0,0,0,1,0
20684,3060,35.0,8,2021,0,1,0,0,0
20658,2969,65.0,10,2021,1,0,1,0,0
20633,3234,65.0,6,2021,1,0,0,0,0
20588,3146,95.0,8,2021,1,0,0,0,0
20570,2710,65.0,8,2020,1,0,0,0,0
20533,3093,80.0,10,2020,0,0,0,1,0
20471,1975,180.0,24,2018,0,0,0,1,0
20457,2711,53.0,10,2018,0,0,0,1,0
20446,3057,65.0,10,2020,1,0,0,0,0
20402,2752,150.0,8,2019,0,0,0,1,0
20392,2727,35.0,8,2020,1,0,0,0,0
20373,1948,120.0,18,2016,0,0,0,1,0
20369,2919,15.0,8,2022,0,1,0,0,0
20309,3759,65.0,6,2022,1,0,0,0,0
20225,3419,35.0,8,2021,1,0,0,0,0
20138,2758,65.0,8,2020,1,0,0,0,0
20138,1916,145.0,18,2014,0,0,0,1,0
20094,1971,135.0,14,2016,0,0,0,1,0
20079,1622,145.0,22,2017,0,0,0,1,0
19949,3096,65.0,6,2022,1,0,0,0,0
19935,3512,65.0,6,2021,0,0,0,1,0
19830,3187,65.0,6,2021,1,0,0,0,0
19820,3628,45.0,4,2022,0,1,0,0,0
19810,2104,125.0,12,2020,0,0,0,1,0
19794,1990,135.0,16,2014,0,0,0,1,0
19781,3374,125.0,6,2021,1,0,0,0,0
19742,3359,125.0,6,2021,1,0,0,0,0
19659,3567,65.0,6,2022,1,0,0,0,0
19571,3532,65.0,6,2022,1,0,0,0,0
19551,1868,120.0,16,2017,0,0,0,1,0
19550,1992,120.0,8,2021,0,0,0,1,0
19518,3039,127.0,8,2019,1,0,0,0,0
19451,1775,100.0,16,2019,0,0,0,1,0
19446,2763,155.0,8,2020,0,0,0,1,0
19425,2628,35.0,8,2020,0,1,0,0,0
19365,2499,205.0,16,2019,0,0,0,1,0
19358,2610,140.0,10,2017,1,0,0,0,0
19339,2733,45.0,8,2020,0,1,0,0,0
19277,3074,125.0,8,2020,1,0,0,0,0
19245,3074,95.0,8,2020,0,0,0,1,0
19238,2009,145.0,14,2014,0,0,0,1,0
19223,2019,125.0,12,2018,0,0,0,1,0
19143,3056,125.0,8,2020,1,0,0,0,0
